name,response
Kurisu,"First. The cosmic strings themselves. Two strings, to be exact. By the way, they are hypothesized to exist only where the universe was first formed, so they might be a little hard to find."
Kurisu,Second. You would need the energy required to make them move them at near-light speed.
Kurisu,How much energy do you think you'd need to accelerate something as long as the Milky Way to near the speed of light? I'm pretty sure it's a little more than 1.21 jigowatts.
Kurisu,"Third. You'd need a spaceship capable of reaching these cosmic strings and returning. With the time traveler alive, of course."
Kurisu,"What do you think, Hououin-san? Care to take on the challenge of cosmic string time travel?"
Kurisu,Hm? Looks like Hououin-san doesn't want to take the challenge.
Kurisu,"In that case, let's consider wormholes. They may be a little more realistic than cosmic strings."
Kurisu,"By the way, Hououin-san. Do you know what wormholes are?"
Kurisu,"Yes, that's correct."
Kurisu,"There are two wormholes joined by a tunnel. No matter how far away the wormholes are, transit time through the tunnel is zero."
Kurisu,"But oh no, there's a problem. The wormhole tunnel suffers from super gravity, and collapses as soon as it opens."
Kurisu,So we need something to negate the effect of gravity.
Kurisu,So-called 'exotic matter'. A substance with negative mass which repulses other matter.
Kurisu,Say that the wormhole tunnel is being squished by an invisible fist.
Kurisu,"In order to pass through, you need something that could oppose my fist's 'grasping force' so that I can't squish anymore. "
Kurisu,"If you stabilize the tunnel with exotic matter injection, instantaneous travel between wormholes becomes possible. To travel through time, however, takes a little more effort."
Kurisu,"For example, let's say there's a wormhole entrance here in Akihabara, and the exit is in Los Angeles."
Kurisu,"First, we send the wormhole in LA all the way to the end of the universe at near the speed of light. And once it's there, we yank it back to LA."
Kurisu,"According to the special theory of relativity, time slows down for objects moving at the speed of light. Meaning the hole that returned to LA would be further in the past than the Akihabara hole."
Kurisu,"So now, if Hououin-san jumped into the wormhole, he'd arrive in LA several years before he left."
Kurisu,"However, this still can't be called true time travel. It only seems that way. This is called the Urashima effect."
Kurisu,The important part is to return to Akihabara from LA through the wormhole once more. Since the transit time is zero...
Kurisu,Hououin-san will return to Akihabara several years in the past. Time travel complete.
Kurisu,The prerequisites for wormhole travel are simpler than the ones for cosmic string travel.
Kurisu,First. The wormhole itself. They may exist somewhere in the universe. But nobody has ever seen one.
Kurisu,Second. The energy required to move a wormhole to the end of the universe and back at near-light speed.
Kurisu,"Third. Exotic matter, which, by the way, has not been confirmed to exist."
Kurisu,Now do you see what I meant when I said that time travel is an absurd concept?
Kurisu,Time travel theories are all just thought experiments. Not one of them can create a viable time machine. That is my answer.
Kurisu,I'm afraid not.
Kurisu,"This is the limit of modern physics. I can't say how it might change in ten years, though."
Kurisu,"Besides, even if someone did overcome the logistical requirements, there may be other factors that prevent time travel from working."
Kurisu,And that's because fundamental problems concerning the principle of causality have not yet been solved.
Kurisu,"If you think that conservation of mass applies to macro-systems like the universe or micro-systems like atoms or elementary particles, you're mistaken."
Kurisu,Heh.
Kurisu,Conservation of mass only applies to chemical reactions. It doesn't hold in modern physics at all.
Kurisu,Something can come from nothing.
Kurisu,"The time paradox of time paradoxes. In other words, the Grandfather Paradox."
Kurisu,"As long as this paradox goes unsolved, time travel can never be realized. Never."
Kurisu,You can't think of it like a sci-fi movie. It's not just about your family tree. There are far greater dangers than that.
Kurisu,"Any paradox, no matter how small, would cause the total collapse of causality, relativity, and every other physical law in existence."
Kurisu,"Paradoxes are nothing more than thought experiments. They cannot occur in reality, and they should not."
Kurisu,Nothing that has even a 0.000001% chance of causing a paradox can happen. The universe won't allow it. Wouldn't you say this is the logical conclusion?
Kurisu,"There may be loopholes, like parallel worlds or the self-consistency principle, but those seem too much like fantasy for me to accept."
Kurisu,Who are you calling a zombie?
Kurisu,"I'm here to see you, Okabe Rintaro-san. Or is it Hououin Kyouma-san?"
Kurisu,"I'm not dead, alright? Please stop killing me off."
Kurisu,"Hashida-san, can you do something about this guy?"
Kurisu,Get ahold of yourself.
Kurisu,Hashida-san gave me the address after yesterday's lecture. He also told me your name.
Kurisu,"Yes. You claimed to have seen me die. I came to see if that was the truth, or just a pathetic excuse to grope me. I came for the answer."
Kurisu,But your current behavior is all the answer I need. It was all an act to grope me. My initial hypothesis was correct.
Kurisu,"Anyway, let's put that aside for now."
Kurisu,"I haven't properly introduced myself yet, have I? I'm Makise Kurisu. Pleased to meet you."
Kurisu,You can't even shake hands? Are all Japanese men this difficult?
Kurisu,I've lived in America for seven years. What about it?
Kurisu,What's your problem?
Kurisu,Don't be ridiculous.
Kurisu,Give it a rest.
Kurisu,What kind of stereotype is that?
Kurisu,...Fascinating.
Kurisu,Have any forceps?
Kurisu,It's squishy.
Kurisu,...No taste. Gross.
Kurisu,No thanks.
Kurisu,As if. Who would eat some perv's banana?
Kurisu,Huh?
Kurisu,Huh? ...huh?
Kurisu,...Ah!!
Kurisu,Why you...
Kurisu,You... ass!
Kurisu,I get it. You're both pervs.
Kurisu,"Okay! If I came off as a little rude, I apologize."
Kurisu,"I was only acting that way because you molested me, but I'll ignore that for now."
Kurisu,Please tell me what happened to this banana. I'd also like to hear about that...
Kurisu,That microwave thing.
Kurisu,Name subject to change? What's that about?
Kurisu,I couldn't care less about its name.
Kurisu,That creepy grin... are you thinking perverted thoughts again?
Kurisu,Who the hell's Christina!? I never said that!
Kurisu,...Which are?
Kurisu,Ramen?
Kurisu,You mean you want me to join your research team? I'm supposed to return to America in August.
Kurisu,Gh...
Kurisu,"You're so full of it. Let's see the contract, then."
Kurisu,"I don't mind lending you my knowledge, but if there is more pervy nonsense involved, the answer is NO."
Kurisu,No more molestation?
Kurisu,"You said that was condition one. So there's gotta be a second one, right? It better not be--"
Kurisu,...
Kurisu,You mean for you.
Kurisu,Geez... I feel like I'm hypersecreting noradrenaline. Let me pick my jaw up off the floor.
Kurisu,Stop adding -tina! My name's Kurisu!
Kurisu,...Okay. I accept.
Kurisu,"I won't answer to either. Use my real name, Hououin."
Kurisu,...
Kurisu,You're such a child.
Kurisu,Come on! No more saying 'perv'! I won't treat you like a perv either! So let's drop it already!
Kurisu,No '-tina' either.
Kurisu,Fascinating.
Kurisu,I think we can at least throw out completely worthless theories like electromagnetic weaponry and teleportation.
Kurisu,Can we run the experiment one more time? I want to see it for myself.
Kurisu,"Okabe-san, Hashida-san, please watch the bananas."
Kurisu,Whatever. Just keep your eye on the bananas!
Kurisu,Sixty seconds have passed. Any change?
Kurisu,100 seconds.
Kurisu,...
Kurisu,Huh? Oh... uh...
Kurisu,"A-at 104 seconds, it d-disappeared. Abruptly. Yeah."
Kurisu,...
Kurisu,Teleportation... is that even possible?
Kurisu,It did move... No matter how unbelievable that may be...
Kurisu,"Could it be quantum teleportation... no, that only occurs on the quantum level..."
Kurisu,Did it really teleport? It's dangerous to reason from the conclusion.
Kurisu,...
Kurisu,Let's sort this out.
Kurisu,Neither the banana bunch nor the frozen chicken teleported. Correct?
Kurisu,But aren't those chicken pieces smaller than bananas?
Kurisu,"What about salt? You experimented with salt too, right?"
Kurisu,Maybe the plate was in the way.
Kurisu,"Then, maybe each individual grain of salt was too small... or something?"
Kurisu,Hmm... I need a clue...
Kurisu,Anything else? Have you noticed anything else about the PhoneWave?
Kurisu,Forget about that.
Kurisu,So? Have you noticed anything or not?
Kurisu,Discharge? How much?
Kurisu,What were the circumstances?
Kurisu,Doctor Nakabachi...
Kurisu,That email you showed me at ATF yesterday?
Kurisu,"It said someone stabbed me at the presentation, didn't it?"
Kurisu,"Uh, what?"
Kurisu,...
Kurisu,...And?
Kurisu,I understand that they're related somehow. But how?
Kurisu,"Hashida-san, talking to this guy's so tiring."
Kurisu,"I'm Makise. Apparently, I'm a lab mem now."
Kurisu,Huh? Me?
Kurisu,When did I become your assistant!?
Kurisu,I don't even know your email address.
Kurisu,Don't call me your assistant!
Kurisu,I thought we agreed to stop saying that!
Kurisu,"Good job, Hashida-san!"
Kurisu,We experimented on them.
Kurisu,"You'll be reimbursed later. By Hououin-san, that is."
Kurisu,An electrical discharge!
Kurisu,That was definitely more than two seconds.
Kurisu,H-hey! Look at this!
Kurisu,This can't be caused by electrical discharge. Some other phenomenon?
Kurisu,"The chicken doesn't matter! Right now, we need to determine what happened with the Phonewa--"
Kurisu,"Hey, Hououin Kyouma! Do something about this! Mayushii-san learned my name wrong!"
Kurisu,Just spit it out. What do you think it is?
Kurisu,Get on with it.
Kurisu,...No way.
Kurisu,A time machine? A time machine!? It can't be!!
Kurisu,Ah.
Kurisu,Hey. When did I become your assistant?
Kurisu,...Why are you glaring at me?
Kurisu,"Oh, so you're just raging? Don't glare at me."
Kurisu,That's because you keep doing pervy--
Kurisu,"Ah, no, I'm not saying anything."
Kurisu,Are the emails you're getting really that unpleasant?
Kurisu,"If you're going to call me names, could you at least be consistent?"
Kurisu,"Anyway, my business here doesn't concern you."
Kurisu,I'm not pouting. I just don't want to get involved in your silly games again.
Kurisu,...I regret losing myself to curiosity back then.
Kurisu,...I guess.
Kurisu,"It doesn't make sense. Normally, they calculate satellites' orbits so that they burn up in the atmosphere when they fall. So how can that thing be in such perfect condition?"
Kurisu,"They still don't know. Rumors say it's from the former Soviet Union, but Russia denies it. So it looks like they can't remove it yet."
Kurisu,Organization? What's that?
Kurisu,"That's obviously a crackpot conspiracy theory, thank you very mu--"
Kurisu,...
Kurisu,"N-nothing! Really, nothing, okay? Say another word and I hit you!"
Kurisu,A-anyway! What's happened with the PhoneWave!?
Kurisu,Just answer me. Have you learned anything?
Kurisu,I see...
Kurisu,Hello? Can you put your phone away when you're talking with someone?
Kurisu,Why are you so pompous?
Kurisu,...
Kurisu,Are you done with your little mail exchange? Hououin-san?
Kurisu,I was being facetious.
Kurisu,Okabe-san... have you sought professional help?
Kurisu,This is exhausting...
Kurisu,"You're pompous, but at least you have some manners."
Kurisu,I hate people who play with their phones in the middle of a conversation.
Kurisu,When we first met? I didn't do that.
Kurisu,What? What do you mean 'giving your report'?
Kurisu,No. And don't go making one up either.
Kurisu,I wasn't hit by lightning! And I was still living in Japan when I was five! And why Arkansas?
Kurisu,"Not Utah? I mean, relatively speaking, isn't Utah more suitable?"
Kurisu,...No reason. I simply didn't want to believe. Fringe science should stay in the realm of fiction.
Kurisu,I saw... but we must be missing something. Or maybe we're just seeing what we want to see.
Kurisu,Remember what I said at ATF? Time machines are just a pipe dream given modern technology.
Kurisu,And yet a bunch of amateurs like you just stick a phone and a microwave together and expect time travel to occur? Ridiculous.
Kurisu,"What do you mean, word games?"
Kurisu,"Wait, are you rejecting modern physics? Who do you think you are?"
Kurisu,"When hypotheses pile up, and theories are verified, they become reality."
Kurisu,That's how modern physics comes to understand the truth of the universe.
Kurisu,"So you're going to do nothing, just because you could be wrong? Then enjoy your dirty little lab and your silly gadgets, because that's all you'll ever have."
Kurisu,You'll never reach the truth that way. Failure teaches success.
Kurisu,"...You're never getting off your high horse, are you?"
Kurisu,...What?
Kurisu,I don't know what to say unless you can give me some examples.
Kurisu,The occult? Really?
Kurisu,...
Kurisu,...It's a different field of study.
Kurisu,"True, but..."
Kurisu,No.
Kurisu,I won't have a hand in your fringe science. I won't make the same mistake my father did.
Kurisu,"You make a fine argument, but it won't work in the scientific community."
Kurisu,The day you decide to research time travel is the day you're out of a job.
Kurisu,Because that's what happened to my father.
Kurisu,"My father, a physicist, loved time machines. He was so fascinated by Wells's 'The Time Machine' that he seriously studied time travel."
Kurisu,"But because of his obsession, he was practically exiled from the scientific community."
Kurisu,I will never get involved with time travel research!
Kurisu,...I'm sorry. I got emotional.
Kurisu,...Huh?
Kurisu,"...Anyway, the PhoneWave isn't a time machine."
Kurisu,"Email is a manmade system, so this phenomenon should be explainable in the scope of that system."
Kurisu,...
Kurisu,...I wasn't planning on it.
Kurisu,Don't call me Christina.
Kurisu,You look ridiculous!
Kurisu,"No, I don't call myself your assistant! And besides, I still have something to ask you!"
Kurisu,"I asked you about this before, but you said I got stabbed, right? I demand an explanation."
Kurisu,Why would you dream about me?
Kurisu,"You said something about Doctor Nakabachi, didn't you?"
Kurisu,That presentation was canceled because of the satellite crash.
Kurisu,I don't flirt. Especially not with idiots like you.
Kurisu,Escapism? That's unexpectedly chicken of you.
Kurisu,So who stabbed me? Don't tell me it was you.
Kurisu,I don't get it. Why do I have to die in your mind? You have something against me?
Kurisu,My hero.
Kurisu,"...I've heard enough. No more hallucinating about me, okay? Dying isn't fun, even if it's in someone else's head."
Kurisu,"You have a comeback for everything, don't you."
Kurisu,Kyah! What now!?
Kurisu,You trying to pick a fight?
Kurisu,"Okay, okay, fine. What is it?"
Kurisu,I don't know what you're talking about.
Kurisu,Hey! Don't tell me to forget about it!
Kurisu,What is the IBN five... whatever?
Kurisu,Yeah? What are you going to do with it?
Kurisu,...
Kurisu,...Just a little.
Kurisu,SERN? You mean... the SERN?
Kurisu,...Great. I shouldn't have asked.
Kurisu,Not your assistant! Makise Kurisu!
Kurisu,I'm not Christina either! How many times do I have to tell you?
Kurisu,Whose fault is that? Whose?
Kurisu,Hashida-san told me.
Kurisu,I said I'm not your assistant.
Kurisu,"Haah, what's the point... Where are you now?"
Kurisu,"Ah, okay. Bye then."
Kurisu,...
Kurisu,What are you talking about?
Kurisu,"I just wanted to ask you where you were. And since you said you were coming here, I came."
Kurisu,"And yet, here I am."
Kurisu,...
Kurisu,Not because I wanted to or anything. Don't get me wrong.
Kurisu,...I can't stop thinking about what you said yesterday.
Kurisu,About the IBN 5100. And SERN.
Kurisu,What's wrong with my face? How rude!
Kurisu,Can you calm down a bit? You're always screwing around. I can't believe you're older than me.
Kurisu,All I'm hearing is gibberish.
Kurisu,I just want to know how the IBN 5100 and SERN are related.
Kurisu,Sh-shut up. I'm not interested in time machines at all.
Kurisu,"More importantly, did you find an IBN 5100?"
Kurisu,A shrine?
Kurisu,Hey. What are you two talking about?
Kurisu,No! What kind of introduction is that!?
Kurisu,I am Japanese.
Kurisu,Wait! Introduce me properly!
Kurisu,It's unnatural not to be introduced in this situation!
Kurisu,An introduction wouldn't take more than ten seconds! What's wrong with you?
Kurisu,"Yeah, whatever. Assistant, whatever... sigh."
Kurisu,Nice to meet you too. How old are you?
Kurisu,A year younger than me...
Kurisu,...
Kurisu,Thanks. I think you're very cute.
Kurisu,You are such a jerk.
Kurisu,Of mankind?
Kurisu,Achoo!
Kurisu,"Oh no, did I catch a cold?"
Kurisu,...His name isn't Hououin. It's Okabe.
Kurisu,I'm just telling the truth.
Kurisu,"Okabe Rintaro is the name your parents gave you, right? Are you denying that?"
Kurisu,Who's a zombie!?
Kurisu,"Um, I'm..."
Kurisu,...
Kurisu,...
Kurisu,"What, something wrong with that? I spend all my time doing research."
Kurisu,"I thought so too, until I met you. Now I realize I'm doing just fine."
Kurisu,Your father is a lovely man.
Kurisu,Huh?
Kurisu,"Hey, wait! Don't misunderstand, you two. That's not what I meant!"
Kurisu,P-please don't cry...
Kurisu,I just meant I was jealous of how well you get along with your father. That's all.
Kurisu,"Don't cry. We've resolved the misunderstanding, so it's all okay."
Kurisu,Die.
Kurisu,Hey! What kind of lowlife teases a girl?
Kurisu,Pathetic. It's only as big as a CRT monitor.
Kurisu,Wheugh...!
Kurisu,...It's r-really heavy.
Kurisu,This thing's gotta weigh like 30 kilos.
Kurisu,"Maybe we should've borrowed a push cart. Urushibara-san, is there one in the shrine?"
Kurisu,Oh. Is there some other place we could borrow--
Kurisu,Then how are you going to bring it back? It takes about ten minutes to walk to your run-down lab from here.
Kurisu,So that's why...
Kurisu,"Well, if we carry it together, we might be able to manage, but..."
Kurisu,But I refuse.
Kurisu,I... I said 'no!' 
Kurisu,Sh-shut up. I said no.
Kurisu,"The whole reason you made me a lab mem was to 'borrow my knowledge'. From this, it is elementary to derive the following: 'I won't do physical labor.'"
Kurisu,Eh? You're going to help? Will you be okay?
Kurisu,"Th-then, umm... me too..."
Kurisu,Eh? Wha!?
Kurisu,You sneaky...
Kurisu,...Fine.
Kurisu,Why do we have to be face to face?
Kurisu,Hey! Stop stop stop! I said stop!
Kurisu,Don't walk forwards. Then I have to walk backwards. Let's walk sideways.
Kurisu,"Hey, listen, please, just listen! I can't walk backwards!"
Kurisu,"I appreciate the vote of confidence, but I can't! I'm asking you to go sideways! No, I'm telling you to go sideways! Sideways! I'm going to fall!"
Kurisu,"Haah, we finally made it... I'm exhausted..."
Kurisu,Right back at you. You stopped to take a break at least five times along the way.
Kurisu,Are you okay?
Kurisu,"Shut up, or I'll tear the peripheral nerves out of that arm."
Kurisu,Shouldn't you get your friends to help?
Kurisu,"Wait! If you're just going to stand and talk, shouldn't we put the box down first?"
Kurisu,"Ugh, it's heavy..."
Kurisu,Haah...
Kurisu,Y-yes?
Kurisu,Yes...?
Kurisu,What is it? Have I done something wrong?
Kurisu,Who was that?
Kurisu,Why was she glaring at me?
Kurisu,I've never seen her before in my life. How rude.
Kurisu,Who are you fighting?
Kurisu,If that's what makes you happy...
Kurisu,Never mind happiness. You're like a junkie hypersecreting beta endorphins.
Kurisu,I certainly don't admire him.
Kurisu,Eh...?
Kurisu,Thanks. But I'm going to stay here a little longer.
Kurisu,You're so annoying! What is it!?
Kurisu,"Who're you calling an assistant? You wouldn't pick up your phone, so I've been waiting here an hour for you."
Kurisu,What's this? What're you talking about?
Kurisu,"Oh, that thing you were talking about yesterday."
Kurisu,Y-yes?
Kurisu,Yes...?
Kurisu,What is it? Have I done something to you?
Kurisu,Who was that?
Kurisu,Why was she glaring at me like that?
Kurisu,I've never seen her before in my life. How rude.
Kurisu,"Haah, haah... why do I... have to..."
Kurisu,What are you going to use the IBN 5100 for? Yesterday you said something about SERN.
Kurisu,"I'm not Christina, and I'm not interested. If you don't want to tell me, then I don't really care."
Kurisu,War? SERN's a research institution.
Kurisu,"...What are you trying to do? Depending on the situation, I could turn you over to the police, you know?"
Kurisu,You can't be serious. Tell me what you're trying to do.
Kurisu,You're so full of yourself.
Kurisu,Thanks. But I'm going to stay here a little longer.
Kurisu,Well?
Kurisu,I'm asking for an explanation. What's this about the IBN 5100 and SERN?
Kurisu,"Hey, Okabe."
Kurisu,I called you O-Okabe.
Kurisu,...I did. Problem?
Kurisu,"Yes, I'm younger than you, but you insist on calling me by ridiculous names like Christina and Zombie, so I don't think I need to show you any respect by adding '-san', and besides--"
Kurisu,!!
Kurisu,...
Kurisu,"...God, you're so full of yourself."
Kurisu,No.
Kurisu,"I'm not crying! It's not like I was scared of you for a second there or anything, and I definitely wasn't relieved when you started talking like an idiot again, okay!?"
Kurisu,"Hey, aren't you going to tell me what's going on?"
Kurisu,Kya!
Kurisu,"...Gee, thanks."
Kurisu,"I've lived seven years at its birthplace, after all."
Kurisu,I'm a minor.
Kurisu,Is that all you drink?
Kurisu,SERN certainly is acting strange... but how's the IBN 5100 involved?
Kurisu,So?
Kurisu,Is that okay? Won't they catch you?
Kurisu,That's not what I meant.
Kurisu,The LHC?
Kurisu,What? Really!?
Kurisu,No way... Then why haven't they made an official announcement!?
Kurisu,"I don't believe in conspiracies, but..."
Kurisu,"If you can prove what you said is real, then I might be surprised. SERN doing time travel research..."
Kurisu,"Ah, but what about the IBN 5100? How is that involved?"
Kurisu,How do you know that?
Kurisu,Setting the IBN 5100 and such aside...
Kurisu,I want to see proof that SERN's really doing that sort of research.
Kurisu,...I'll wait until then.
Kurisu,"No thanks. I'll wait. I want to know as soon as possible, even if it's just a microsecond sooner."
Kurisu,If what you guys are saying is true... then this isn't something to joke about.
Kurisu,SERN is the world's top research institution. If they're doing secret experiments without publishing their results...
Kurisu,They're making fools of scientists the world over.
Kurisu,"That's only if it's true, though."
Kurisu,Can you show me the PhoneWave?
Kurisu,"You haven't been able to send another email to the past yet, right?"
Kurisu,Do you know why?
Kurisu,Let's run some tests.
Kurisu,Man. You have a ton of junk. 
Kurisu,"Future Gadgets, huh..."
Kurisu,Hey. Isn't this... a weapon?
Kurisu,How confusing.
Kurisu,So it's junk. I thought so.
Kurisu,I'm borrowing this.
Kurisu,It's just not right without a lab coat.
Kurisu,Hey!
Kurisu,G-get what? Let go!
Kurisu,"I don't know if that's supposed to be a compliment, but it's coming off as an insult. Now let go!"
Kurisu,Shut up so we can start the experiment.
Kurisu,...So you haven't tampered with the microwave at all?
Kurisu,How was it set when the discharge phenomenon occurred?
Kurisu,Hmm.
Kurisu,I'll take a banana.
Kurisu,"Oh, so I don't need your permission, then. I'll go buy new bananas tomorrow."
Kurisu,...Nothing happened.
Kurisu,Ow!
Kurisu,It's hot.
Kurisu,I guess what happened earlier was an irregularity after all.
Kurisu,I agree.
Kurisu,"Wrong. If it returned to its state 120 seconds before, it wouldn't be gelified."
Kurisu,"That logic is dubious. Sure it ended up frozen, but did you examine the possibility that it might have gelified first?"
Kurisu,You mean nothing changed.
Kurisu,Is the microwave storing electricity?
Kurisu,"You said that gelified objects became fractal structured, right?"
Kurisu,"Salt has a simple structure by nature, so maybe that had an effect. But how could electricity be related..."
Kurisu,No. It's not good to start thinking from the conclusion.
Kurisu,I'm not especially concerned whether this thing is a time machine or not.
Kurisu,"To begin with, it's physically impossible for this tiny little microwave to produce energy equivalent to the big bang."
Kurisu,"We can't reproduce the discharge phenomenon, nor the fractalization. There should be a reason why."
Kurisu,We haven't changed our methods. We haven't changed the settings. We haven't changed the experimental subjects either. There must be some other variable.
Kurisu,What do you mean by that?
Kurisu,"There were four of us here when the discharge phenomenon occurred last time. But before that, it occurred when Hashida-san was alone."
Kurisu,"Each time fractalization occurred, there were either two or three people observing."
Kurisu,You and I each saw both phenomena.
Kurisu,"In other words, the conditions haven't changed."
Kurisu,Hmmm...
Kurisu,...
Kurisu,Sh-shut up! I haven't eaten anything since lunch.
Kurisu,It's already 8?
Kurisu,...
Kurisu,Cup noodles.
Kurisu,I'll have cup noodles.
Kurisu,What flavors?
Kurisu,Chicken.
Kurisu,Also... do you have a fork?
Kurisu,No need.
Kurisu,I haven't seen my father in seven years. My mother is in America. I'm living in a hotel right now. Understand?
Kurisu,"I'm not American, and there aren't any motels in the heart of Tokyo."
Kurisu,What do you mean? It's a normal hotel in Ochanomizu.
Kurisu,Sure.
Kurisu,Sorry?
Kurisu,Why do you care about my father?
Kurisu,You're crazy.
Kurisu,...
Kurisu,I have nothing to say to you.
Kurisu,...
Kurisu,Don't make fun...
Kurisu,Of people's family issues like that. You're trampling on my heart.
Kurisu,...
Kurisu,Jelly starts with J. J-E-L-L-Y.
Kurisu,1954.
Kurisu,"Hmmm, the text isn't in French..."
Kurisu,"...'SERN's purpose heading into the 21st Century shall be to establish control over space and time, thereby to enable the destruction of extant history and the creation of an everlasting Utopia, ruled by the Committee, that encompasses the entirety of past and future events.'"
Kurisu,Of course not. Stop assigning people roles in your fantasy world.
Kurisu,"'In order to maintain this project's secrecy, and to allow its name to remain relevant in changing circumstances, we designate it the Z Program.'"
Kurisu,"'Z, like the Greek Omega or the Cyrillic Ya.'"
Kurisu,'It is forbidden to assign any meaning to this name or to seek in it significance beyond the project itself. Negative returns are predicted should this edict be violated.'
Kurisu,"'The Z Program is a top secret project spanning international borders. Like electromagnetic wave research, it has been approved for top priority funding by the Committee of 300.'"
Kurisu,"'Henceforth, all other research performed by SERN shall function to keep the Z Program's existence secret.'"
Kurisu,Hmm... ah... here.
Kurisu,This... can't be!
Kurisu,'The purpose of the Z Program is to perform time-space displacement experiments by means of high-energy proton-proton collisions.'
Kurisu,No way... it was true?
Kurisu,You're telling me they've been deceiving the world for nearly 40 years?
Kurisu,"What Organization, you chuunibyou nutjob? At least try to be serious some of the time."
Kurisu,The Committee of 300? I don't think they mean SERN's Executive Council. What are they talking about?
Kurisu,You're making things up again.
Kurisu,...Wow. That was quite a speech.
Kurisu,"Since you seem to know so much about it, does that mean you're aiming for godhood too?"
Kurisu,I'm not asking Hououin. I'm asking Okabe.
Kurisu,"In other words, you don't have your own reason."
Kurisu,At least show respect when you're asking a favor...
Kurisu,Umm...
Kurisu,'Stage 1: Construction and implementation of the Large Hadron Collider.'
